SKU,min_price,max_price
32950,422.975,486.325
78833,295.83,324.45000000000005
64619,142.8534,153.704
83329,75.0321,90.6
17812,61.06399999999999,78.19200000000002
10334,79.15039999999998,102.781
43678,116.5312,151.474
57561,77.9744,101.829
68211,147.7683,166.05599999999995
90611,73.2368,96.474
36096,120.672,135.312
69997,111.86,142.401
38767,62.9118,75.852
98255,65.639,68.593
72784,103.904,134.976
54404,76.0,86.75200000000002
89272,116.26,127.726
19632,154.826,159.852
24125,108.124,112.044
80308,113.604,123.901
11050,100.0,112.474
84395,131.26,142.019
80631,85.929,92.474
60870,109.182,117.064
49661,158.208,165.97799999999995
